SQ_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO
250000641390,Outros bens imóveis,APARTAMENTO ,370000
250000641390,Quotas ou quinhões de capital,QUOTAS KALOTA AUTOPOSTO LTDA.,30000
250000641390,Quotas ou quinhões de capital,QUOTAS ARTHUR MOLEDO DO VAL ME,1000
250000641390,"Aplicação de renda fixa (CDB, RDB e outros)",CDB SANTANDER,6635.44
250000641390,Caderneta de poupança,CONTA POUPANÇA BRADESCO,1000
250000641391,Outros bens imóveis,APARTAMENTO FINANCIADO JUNTO AO ITAÚ,365000
250000641391,Outros bens imóveis,APARTAMENTO FINANCIADO JUNTO AO ITAÚ,590000
250000641391,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",HYUNDAI TUCSON 2012,35000
250000658458,Outros bens imóveis,um terreno em Curitiba PR,70000
250000658458,Quotas ou quinhões de capital,Cotas Empresa GD Agencia de Notivcias,1980
250000658458,Depósito bancário em conta corrente no País,Depositos em contas diversas,115000
250000661535,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",MOTO HONDA CBR 1100 ANO 77,19851
250000661535,Quotas ou quinhões de capital,SMA FRP EMPREENDIMENTOS LTDA,1877
250000661535,Quotas ou quinhões de capital,MATARAZZO PARTICIPAÇÕES E COMERCIO LTDA,1340617.7
250000661535,Depósito bancário em conta corrente no País,BANCO DO BRASIL,827.73
250000661535,Depósito bancário em conta corrente no exterior,BANCO NA ITÁLIA,131750.12
250000661536,Apartamento,SÃO PAULO / SP,282890.07
250000661536,Apartamento,SÃO PAULO / SP,1500000
250000661536,Casa,SÃO PAULO / SP,270000
250000661536,Caderneta de poupança,BRADESCO,97.83
250000661536,Caderneta de poupança,CEF,14541.63
250000661536,"Aplicação de renda fixa (CDB, RDB e outros)",SANTANDER,517.38
250000661536,"Aplicação de renda fixa (CDB, RDB e outros)",CEF,152500
250000661536,VGBL - Vida Gerador de Benefício Livre,SANTANDER,82.97
250000661536,Depósito bancário em conta corrente no País,BANCO DO BRASIL,22605.74
250000661536,Depósito bancário em conta corrente no País,BANCO DO BRASIL,263.56
